"R.br.","Br.indexa","Prisustvo","Zadace","Iparc26.04.","IIparc23.06.","Iparc03.07.","IIparc03.07.","Usmeni03.07.","Usmeni06.07.","Usmeni13.07.","Iparc01.09.","IIparc01.09.","Usmeni13.09.","UKUPNO","Ocjena","Grupa"
"47.","16832","10","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 (10%)",NA,"[Bez grupe]"
"48.","17762","10","0","13.9","15.8",NA,NA,NA,NA,NA,NA,NA,NA,"39.7 (39.7%)","9","[Bez grupe]"
"49.","17580","10","0","15.8","16.6",NA,NA,NA,NA,NA,NA,NA,NA,"42.4 (42.4%)","8","[Bez grupe]"
"50.","17586","10","0","6.5","10.4","11.2",NA,NA,NA,NA,NA,NA,NA,"31.6 (31.6%)","6","[Bez grupe]"
"51.","17321","10","0","10","11.8",NA,NA,NA,NA,NA,NA,NA,NA,"31.8 (31.8%)","8","[Bez grupe]"
"52.","17252","10","0","0.9","1.5","11.2","7",NA,NA,NA,NA,NA,NA,"28.2 (28.19%)","6","[Bez grupe]"
"53.","17273","10","0","18","5.5",NA,"12.4",NA,NA,NA,NA,NA,NA,"40.4 (40.39%)","9","[Bez grupe]"
"54.","17539","10","0","12","9.9",NA,NA,NA,NA,NA,NA,NA,NA,"31.9 (31.9%)","6","[Bez grupe]"
"55.","17873","10","0","17.3","17.5",NA,NA,NA,NA,NA,NA,NA,NA,"44.8 (44.79%)","10","[Bez grupe]"
"56.","17744","10","0","14","17.8",NA,NA,NA,NA,NA,NA,NA,NA,"41.8 (41.8%)","10","[Bez grupe]"
"57.","17787","10","0","7","8.1","13","11",NA,NA,NA,NA,NA,NA,"34 (34%)","6","[Bez grupe]"
"58.","17418","10","0","3.8","10","18",NA,NA,NA,NA,NA,NA,NA,"38 (38%)","6","[Bez grupe]"
"59.","17998","10","0","10.3","6.5",NA,"18.4",NA,NA,NA,NA,NA,NA,"38.7 (38.7%)","9","[Bez grupe]"
"60.","17512","10","0","6.3","15.6","11.3",NA,NA,NA,NA,NA,NA,NA,"36.9 (36.9%)","7","[Bez grupe]"
"61.","17841","10","0","9.7","10.6",NA,NA,NA,NA,NA,NA,NA,NA,"30.3 (30.3%)","6","[Bez grupe]"
"62.","17500","10","0","7","11.3","16.9",NA,NA,NA,NA,NA,NA,NA,"38.2 (38.2%)","8","[Bez grupe]"
"63.","17501","10","0",NA,"1.4",NA,NA,NA,NA,NA,"8.8","8",NA,"26.8 (26.8%)","6","[Bez grupe]"
"64.","17790","10","0","18.1","10.8",NA,NA,NA,NA,NA,NA,NA,NA,"38.9 (38.9%)","9","[Bez grupe]"
"65.","17276","10","0","5.8","15.4","18.1",NA,NA,NA,NA,NA,NA,NA,"43.5 (43.5%)","8","[Bez grupe]"
"66.","17723","10","0","7.9","12.4","16.5",NA,NA,NA,NA,NA,NA,NA,"38.9 (38.9%)","6","[Bez grupe]"
"67.","17745","10","0","12","10.8",NA,NA,NA,NA,NA,NA,NA,NA,"32.8 (32.79%)","6","[Bez grupe]"
"68.","17940","10","0","9.5","8.1",NA,"18.3",NA,NA,NA,NA,NA,NA,"37.8 (37.79%)","8","[Bez grupe]"
"69.","17914","10","0",NA,NA,"11.5","10",NA,NA,NA,NA,NA,NA,"31.5 (31.5%)","6","[Bez grupe]"
"70.","17812","10","0","10.7","19",NA,NA,NA,NA,NA,NA,NA,NA,"39.7 (39.7%)","9","[Bez grupe]"
"71.","17282","10","0","12.2","8.7",NA,"13.1",NA,NA,NA,NA,NA,NA,"35.3 (35.3%)","7","[Bez grupe]"
"72.","17766","10","0","9.6","10",NA,NA,NA,NA,NA,NA,NA,NA,"29.6 (29.6%)","6","[Bez grupe]"
"73.","17980","10","0","16.1","16",NA,NA,NA,NA,NA,NA,NA,NA,"42.1 (42.1%)","10","[Bez grupe]"
"74.","17822","10","0","18","10.8",NA,NA,NA,NA,NA,NA,NA,NA,"38.8 (38.79%)","10","[Bez grupe]"
"75.","17778","10","0","14.9","4.1",NA,"14",NA,NA,NA,NA,NA,NA,"38.9 (38.9%)","7","[Bez grupe]"
"76.","17729","10","0","16.2","18.3",NA,NA,NA,NA,NA,NA,NA,NA,"44.5 (44.5%)","10","[Bez grupe]"
"77.","17803","10","0","2.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.6 (12.6%)",NA,"[Bez grupe]"
